子文件夹路径	第一行	第二行	第三行	第四行
G:\GitHub\report-images\report-images\horticulturae-10-00270-v2	# Article Simulation Model Construction of Plant Height and Leaf Area Index Based on the Overground Weight of Greenhouse Tomato: Device Development and Application		Shenbo Guo 1,2, Letian $\mathbf { W _ { U } } ^ { 1 , 3 , 4 , * } ,$ , Xinwei Cao 1,3,4, Xiaoli Sun 1,3,4, Yanfei Cao 2, Yuhan Li 2 and Huifeng Shi $^ { 1 , 3 , 4 , * }$	
G:\GitHub\report-images\report-images\J Food Process Engineering - 2025 - Zhang	# Electrical Impedance Spectroscopy in Agricultural Food Quality Detection		Benhua Zhang1 $\oplus$ |  Longlong Feng2 $\textcircled{1}$ |  Fangqi Yun2 $\textcircled{1}$ |  Xunan Sui2 $\textcircled{1}$ |  Jiale Gao2 $\textcircled{1}$	
G:\GitHub\report-images\report-images\j.jqsrt.2019.04.009	# Accepted Manuscript		Radiative Control Through Greenhouse Covering Materials Using Pigmented Coatings	
G:\GitHub\report-images\report-images\j.renene.2019.12.130	# Journal Pre-proof		Selection of a phase change material and its thickness for application in walls of buildings for solar-assisted steam curing of precast concrete	
G:\GitHub\report-images\report-images\Jin_2022_Improving light use efficiency of lettuce in vertical farms by far-red	![](images/2dd935d4ecf2b71ed740772d63662ada802b7ed340e3d00f90aebf9fcf6ba2e0.jpg)		Improving light use efficiency of  lettuce in vertical farms by far-red and dynamic light intensities	
G:\GitHub\report-images\report-images\Kamp 等 - 2024 - AGROS disease control seed potatoes  report 2020-2023	![](images/69f0db522c03efb25e4d06d93aa57aba5232ab316f90f99b616f6c7bd69496b4.jpg)		# AGROS Disease Control Seed Potatoes Report 2020-2023	
G:\GitHub\report-images\report-images\Katzin 等 - 2021 - Energy savings in greenhouses by transition from high-pressure sodium to LED lighting	# Energy savings in greenhouses by transition from high-pressure sodium to LED lighting		David Katzin a,\*, Leo F.M. Marcelis b, Simon van Mourik a	
G:\GitHub\report-images\report-images\Katzinetal.-2025-Apleaforopensourcegreenhouseclimatemodelling	# A plea for open source greenhouse climate modelling		Article  in  Acta Horticulturae $\cdot \cdot$ March 2025	DOI: 10.17660/ActaHortic.2025.1425.40
G:\GitHub\report-images\report-images\Katzinetal.-2025-Radiometricpropertiesofscreensandenergysavingingreenhouses	# Radiometric properties of screens and energy saving in greenhouses		Article  in  Acta Horticulturae $\cdot \cdot$ April 2025	DOI: 10.17660/ActaHortic.2025.1426.67
G:\GitHub\report-images\report-images\Katzinetal.-2025-Selectivereflectionofnearinfraredradiationinshadingscreensforcooledgreenhouses	# Selective reflection of near infrared radiation in shading screens for cooled greenhouses		Article  in  Acta Horticulturae $\cdot \cdot$ March 2025	DOI: 10.17660/ActaHortic.2025.1423.13
G:\GitHub\report-images\report-images\Koning_1994	Development and dry matter distribution in glasshouse tomato: a quantitative approach		# promotor: Dr. ir. H. Challa hoogleraar in de Tuinbouwplantenteelt in het bijzonder de beschermde teelt	
G:\GitHub\report-images\report-images\Körner_Holst_2017_An open-source greenhouse modelling platform	# An open-source greenhouse modelling platform		O. Körner1,a and N. Holst2	
G:\GitHub\report-images\report-images\Labrie 等 - 2025 - Monitoring LED in de rozenteelt monitoring van klimaat, kwaliteit en ervaringen in de praktijk	# Monitoring LED in de rozenteelt		Monitoring van klimaat, kwaliteit en ervaringen in de praktijk (2022-2023)	
G:\GitHub\report-images\report-images\Liu 等 - 2023 - Photosynthesis Characteristics	# Article Photosynthesis Characteristics of Tomato Plants and Its’ Responses to Microclimate in New Solar Greenhouse in North China		Haijun Liu $^ { 1 , * \textcircled { \gg } }$ , Mengxuan Shao $\mathbf { 1 } _ { \textcircled { 1 } }$ and Li Yang 1,2	
G:\GitHub\report-images\report-images\Marcelis_1994	# Fruit growth and dry matter partitioning in cucumber		L.F.M. Marcelis	
G:\GitHub\report-images\report-images\Methoden-zur-energetischen-Bewertung-von-geschlossenen-Gewaechshausanlagen-unter-Beruecksichtigung-von-Enthalpiedifferenzen	# Methoden zur energetischen Bewertung von geschlossenen Gewachshausanlagen unter Berucksichtigung von Enthalpiedifferenzen		Book $\mathbf{\nabla}\cdot\mathbf{\varepsilon}$ September2014	
G:\GitHub\report-images\report-images\Mishra 等 - 2024 - Een voorraadje voor de winter  Mogelijkheden voor	![](images/8611c4437b3a3ffaa8bdd626aa14179c0f5f262b9fb7e840560f1234b96ebdfc.jpg)		# Een voorraadje voor de winter	
G:\GitHub\report-images\report-images\Mishra 等 - 2024 - End report seed money project 2023  sustainable cultivation of ginger and turmeric in greenhouse i	![](images/b38d48fc8b4928464dcf002af72d807a26664c2813a047c7ba364b66f19791b4.jpg)		# End Report: Seed Money Project 2023	
G:\GitHub\report-images\report-images\modelling_and_remote_sensing_183133	# Modelling and Remote Sensing of Canopy Light Interception and Plant Stress in Greenhouses		# Vaia Sarlikioti	
G:\GitHub\report-images\report-images\Mohammadkhani 等 - 2025 - Lichtwinst met hydrofiele glas coatings	![](images/6a9679a649f46397562bef6bc4f8f7aeab15246db37818dc1481da4a76f9d2a3.jpg)		Lichtwinst met hydrofiele glas coatings	
G:\GitHub\report-images\report-images\Os et al_2023_Waterefficiënte teelt op substraat	![](images/526202e00d3f902c1a083564e83f6a9a48e359fd8707ee38f678c80f960a4a8e.jpg)		# Waterefficiënte teelt op substraat	
G:\GitHub\report-images\report-images\Os 等 - 2024 - Kringloopbestendig telen in grond en in zandbedden LWV19101	![](images/fbda78f1594a63fcc12f12d1fba7f895f00f26787df70363c95fce0c69ab4e9d.jpg)		# Kringloopbestendig telen in grond en in zandbedden	
G:\GitHub\report-images\report-images\Reyes-Rosas et al_2017_Development of a single energy balance model for prediction of temperatures	Original papers		# Development of a single energy balance model for prediction of temperatures inside a naturally ventilated greenhouse with polypropylene soil mulch	
G:\GitHub\report-images\report-images\Ronoh和Rath - 2014 - Investigations on the external thermal radiation exchanges between glass-covered greenhouse surfaces	# Investigations on the external thermal radiation exchanges between glass-covered greenhouse surfaces and the sky		Erick K. Ronoh, Thomas Rath	
G:\GitHub\report-images\report-images\Rootzone Dynamics 等 - 2023 - De virtuele lysimeter, een beslissing ondersteunend systeem voor de watergift bij grondgebonden kast	![](images/b3d4b1f344d30de7bae633d2a4ac59e315d660ac2b5d7dfbd51d6fdf030b9e19.jpg)		# De Virtuele Lysimeter, een beslissing ondersteunend systeem voor de watergift bij grondgebonden kasteelten	
G:\GitHub\report-images\report-images\RUG01-002166683_2014_0001_AC	Faculteit Bio-ingenieurswetenschappen Academiejaar 2013-2014		Ontwikkelen en toepassing van een druksensor om het suikertransport te onderzoeken in tomaat en tarwe	
G:\GitHub\report-images\report-images\RUG01-002217117_2015_0001_AC	Faculteit Bio-ingenieurswetenschappen Academiejaar 2014 - 2015		# Invloed van zoutstress op de bijdrage van xyleem en floéem in de sapstroom naar de tomatentros (Solanum lycopersicum L. cv 'Dirk') tijdens de vruchtontwikkeling	
G:\GitHub\report-images\report-images\RUG01-002217119_2015_0001_AC	FACULTEITBIO-INGENIEURSWETENSCHAPPEN		Academiejaar 2014-2015	
G:\GitHub\report-images\report-images\RUG01-002217226_2015_0001_AC	Faculteit Bio-ingenieurswetenschappen Academiejaar 2014 - 2015		Modelleren van het effect van waterdeficit op de tomatenplant en -vrucht (Solanum lycopersicum L. cv 'Dirk')	
G:\GitHub\report-images\report-images\Serooskerken 等 - 2024 - Fosforterugwinning uit reststromen voor de glastuinbouw	# Fosforterugwinning uit reststromen voor de glastuinbouw		![](images/2933ade8353365d874d719d834f414c0847579a77ff00899df26f3674690c51c.jpg)	Alexander van Tuyll1, Marc Lanting2, Erik de Lange3, Alexander Boedijn1, Jolanda van Medevoort2, Andries Koops3 1 Business Unit Glastuinbouw & Bloembollen, Wageningen Plant Research 2 Wageningen Food & Biobased Research 3 Wageningen Food Safety Research
G:\GitHub\report-images\report-images\Serooskerken 等 - 2024 - Phosphorus recovery from side-streams for horticulture	# Phosphorus Recovery from Side-Streams for Horticulture		![](images/ddeb6d98fc4c24c061f99bf292392052b6f642d45c64eee7ab8e3fcc8568924f.jpg)	Alexander van Tuyll1, Marc Lanting2, Erik de Lange3, Alexander Boedijn1 Jolanda van Medevoort2, Andries Koops3 1 Business Unit Greenhouse Horticulture & Bulbs, Wageningen Plant Research 2 Wageningen Food & Biobased Research 3 Wageningen Food Safety Research
G:\GitHub\report-images\report-images\Serooskerken和Lanting - 2024 - Stikstof whitepaper circulaire meststoffen voor de glastuinbouw	![](images/4998f17c419249edfe5e94ef66345697efba6ae7b836a90d47661b859e2fda6b.jpg)		# Stikstof	
G:\GitHub\report-images\report-images\Shen-bo 等 - 2023 - Construction of	郭申伯,刘福昊,王笛,等.基于微气候适宜度指数构建番茄生长速率模拟模型[J].中国农业气象,2023,44(7):611-623		# 基于微气候适宜度指数构建番茄生长速率模拟模型	
G:\GitHub\report-images\report-images\Study of tomato growth weight	# Study of tomato growth weight-distribution model based on real-time plant weight in a solar greenhouse		Shaokun Sun, Xiaotong Wang, Jitong Xu, Hongdan Fu & Zhouping Sun	
G:\GitHub\report-images\report-images\Swinkels 等 - 2024 - Nieuw glas op de kas	# Nieuw glas op de kas		Gert-Jan Swinkels, Kshiti Mishra, Bram van Breugel en Silke Hemming	
G:\GitHub\report-images\report-images\Tiede-Arlt和Nordrhein-Westfalen - Abschlussbericht des modell- und sondervorhabens nursery stock growing support system	# Abschlussbericht		# des Modell- und Sondervorhabens	
G:\GitHub\report-images\report-images\Trépanier 等 - 2025 - Best combinations of energy-efficiency measures in greenhouses considering energy consumption, yield	# Best combinations of energy-efficiency measures in greenhouses considering energy consumption, yield, and costs: Comparison between two cold climate cities		Marie-Pier Tr´epanier a, Louis Gosselin a,\*, Bo Nørregaard Jørgensen b	
G:\GitHub\report-images\report-images\Van Tuyll 等 - 2024 - Sustainable phosphorus for soilless greenhouse horticulture  An exploration of potential routes	![](images/d4635b5bbc3239c5ff11d66bf701ad26d916027ad237d10efb537155f044479b.jpg)		# Sustainable Phosphorus for Soilless Greenhouse Horticulture	
G:\GitHub\report-images\report-images\Van Vilsteren 等 - 2023 - TomBollenrevolutie 4.0  Eindrapportage werkpakket veld	![](images/ba48c3268471e50f806853783858486ef3ebc3cdc5f519a07233598b08e360f9.jpg)		# Bollenrevolutie 4.0	
G:\GitHub\report-images\report-images\Vermeiren et al_2020_Quantifying the importance of a realistic tomato (Solanum lycopersicum) leaflet	# PART OF A SPECIAL ISSUE ON FUNCTIONAL-STRUCTURAL PLANT GROWTH MODELLING		# Quantifying the importance of a realistic tomato (Solanum lycopersicum) leaflet shape for 3-D light modelling	
G:\GitHub\report-images\report-images\vg	# Virtual greenhouse model		Niels Holst, Aarhus University, Denmark, 22 August 2023.	
G:\GitHub\report-images\report-images\Victoria 等 - 2024 - Demokas 2030; emissiearm telen teeltresultaten 2019-2022; potanthurium	![](images/65cbdb83f8da5af77d064db90ce1c36cf3a4b9af8bd7600e249be390b92142cf.jpg)		# Demokas 2030; emissiearm telen	
G:\GitHub\report-images\report-images\Victoria 等 - 2024 - Snijanthurium onbelicht naar klimaatneutraal een 2-jarig demonstratieteelt in de 2SaveEnergy kas	# Snijanthurium: onbelicht naar klimaatneutraal		Een 2-jarig demonstratieteelt in de 2SaveEnergy kas	
G:\GitHub\report-images\report-images\Vilsteren 等 - 2024 - Energiemonitor van de nederlandse bloembollensector over het jaar 2021	![](images/ac8eebbaf388a840ac1431816d6f424e59358209264d17fa2a29d841395e21f4.jpg)		# Energiemonitor van de Nederlandse Bloembollensector over het jaar 2021	
G:\GitHub\report-images\report-images\Voogt 等 - 2023 - Validatie van de virtuele lysimeter  De virtuele lysimeter getest en gevalideerd op praktijkbedrijv	![](images/8d8beacbecf8f547fbfcba9d5797420cc6259507b2702c6567bb9bccee55dcad.jpg)		# Validatie van de Virtuele Lysimeter	
G:\GitHub\report-images\report-images\Wageningen UR Library 等 - 2023 - Aardbei fossielvrij	![](images/2465f136dedb10c6684499acae96dda630b541f6dc6b52ed3752cf4816fa7e14.jpg)		# Aardbei Fossielvrij	
G:\GitHub\report-images\report-images\WUR GTB Gewasgezondheid Bodem en Water 等 - 2023 - Design of a greenhouse for peri-urban horticulture in algeria	![](images/b6482c7cfac632b75b06d83030d4bed39552a8ef6d437fc3e46fd83d28a588bc.jpg)		# Design of a greenhouse for peri-urban horticulture in Algeria	
G:\GitHub\report-images\report-images\Zee 等 - 2024 - Biodegradability of sensors evaluation of the sensors developed in the PLANtAR project	![](images/b10394f13d6f4beccbea96fcb8f33195ab74801875b14b6dc7caebbbfb9c1d9f.jpg)		# Biodegradability of sensors	
G:\GitHub\report-images\report-images\书 Cucurbits (Crop Production Science in Horticulture) (2020, CABI)	![](images/f3b252db7806716defa46ca404dea2beaf0f4a0b0610e68977f436b5341cd76a.jpg)		# 葫芦科作物 第2版	
G:\GitHub\report-images\report-images\书 Plant factory	![](images/2dc138020b0df2716263e9b604543988343e053c6984f0aad8bf89334018446e.jpg)		# PLANTFACTORY An Indoor Vertical Farming System for Efficient Quality Food Production	
G:\GitHub\report-images\report-images\书 Tomatoes (2018, CABI)	![](images/64f56799ee150fe7ceb5a3d9c03bf91bd3dde409bd8c3a3d5933bf3b6732c2f0.jpg)		TOMATOES 2nd Edition	
G:\GitHub\report-images\report-images\书 模拟潜在的作物生长过程：带有练习的教科书	# Physiological aspects of increased CO2-concentration		# Article	
G:\GitHub\report-images\report-images\博士论文 PhD_BartVandeWal	# FACULTYOF BIOSCIENCEENGINEERING		![](images/04193e749bd7cc3c01f4d2dbc7fadb6c798428ce86b95f92cea6bbc3d7ad5f20.jpg)	
G:\GitHub\report-images\report-images\博士论文 PhD_Jochen_Hanssens_final	![](images/7b72e5e7c353d5b2dc3ca8330258394d20d4c848134ca89d287ee336a881385f.jpg)		Decision support for tomato growers based on plant responses, modelling and greenhouse energy consumption	
G:\GitHub\report-images\report-images\图书章节 638757	Research and technology in plant factories with artificial lighting: past, present and future		Advances in plant factories Liu, Ying; Kusuma, Paul; Marcelis, Leo F.M. https://doi.org/10.19103/AS.2023.0126.04	
G:\GitHub\report-images\report-images\图书章节 638761	Effect of far-red light on improving yields of tomatoes produced in vertical farms		Advances in plant factories Ji, Yongran; Butturini, Michele https://doi.org/10.19103/AS.2023.0126.19	
G:\GitHub\report-images\report-images\报告242427	# Natuurkundige analyse van de vocht- en energie balans van een tuinbouwkas		Het handhaven van een energiezuinig groeiklimaat in kassen met behulp van natuurlijke en geforceerde ventilatie	
G:\GitHub\report-images\report-images\报告569147	![](images/defcc3e7b63a9fb088625bf7fad23339028f35e5fc2badb5308f90e0dccaca57.jpg)		# Alstroemeria en haar lichtcriteria	
G:\GitHub\report-images\report-images\报告670275	# Basiskennis verdamping komkommer		Deelverslag 4 van het project “Kennisontwikkeling over verdamping: van fundamenteel naar toegepast”	
G:\GitHub\report-images\report-images\活动 690775	![](images/ba5f38ddd727ca8d84f2eb01c286b31085471ca86c6dfc4f59da28b5f2526b40.jpg)		# Inhoud	
G:\GitHub\report-images\report-images\活动 690777	# Low-ε: schermen of glas?		Light event, 26/3/2025, Bleiswijk	
G:\GitHub\report-images\report-images\活动 690778	# Daglichtloze teeltsystemen		Marius Bongers Plant Lighting B.V.	
G:\GitHub\report-images\report-images\活动 can_autonomous_greenhouses_enhance_crop_productio-wageningen_university_and_research_683670	![](images/35ca725d731e9f12ff3395fac8a2504a8d1534fa50671f3cf18238400665f38c.jpg)		1	
G:\GitHub\report-images\report-images\论文 Hemmerling et al_2013_Extension of the GroIMP modelling platform to allow easy specification of	# Extension of the GrolMP modelling platform to allow easy specification of differential equations describing biological processes within plant models		Reinhard Hemmerlinga,Jochem B. Eversb, Katarina Smolenovaa\*,Gerhard Buck-Sorlin°, Winfied Kurth\*	
G:\GitHub\report-images\report-images\论文 Plas 等 - 2025 - A detailed plant model in CFD that resolves the microclimate around individual leaves	Research Paper		# A detailed plant model in CFD that resolves the microclimate around individual leaves	
G:\GitHub\report-images\report-images\论文current_status_and_future_challenges_in_implement-wageningen_university_and_research_559689	# Current status and future challenges in implementing and upscaling vertical farming systems		Nature Food	Delden, S.H.; Sharath Kumar, M.; Butturini, M.; Graamans, L.J.A.; Heuvelink, E. et al
G:\GitHub\report-images\report-images\论文Kim和You - 2025 - Energy-efficient greenhouse climate control using gaussian process-based stochastic model predictive	# Energy-efficient greenhouse climate control using Gaussian process-based stochastic model predictive control		Jinsung $\mathrm{Kim^{a}}\oplus$ D , Fengqi You a, b,∗ i	
